,Act1(AccessibleBritishColumbia).pdf,Act2(EscheatAct).pdf,Act3(FamilyLawPart1).pdf,Total
the,150,378,57,585
of,85,175,45,305
to,65,147,36,248
or,46,115,40,201
in,59,109,24,192
and,65,55,22,142
that,20,60,9,89
is,12,49,23,84
act,34,31,16,81
under,26,42,12,80
property,0,66,9,75
person,11,40,22,73
any,12,55,4,71
for,22,39,9,70
accessibility,65,0,0,65
section,27,26,12,65
an,17,33,14,64
government,4,60,0,64
may,16,42,3,61
land,0,60,0,60
by,22,32,4,58
part,17,19,22,58
on,11,42,3,56
general,4,46,1,51
this,19,18,8,45
attorney,0,44,0,44
if,4,37,2,43
it,2,38,2,42
as,13,20,9,42
not,15,23,3,41
with,25,6,9,40
water,0,40,0,40
committee,37,0,0,37
family,0,0,36,36
has,2,28,6,36
must,23,13,0,36
means,6,7,22,35
subsection,11,24,0,35
be,12,18,4,34
regulations,18,8,4,30
columbia,19,7,2,28
british,19,7,2,28
order,0,23,5,28
system,0,27,0,27
agreement,0,20,6,26
minister,24,2,0,26
corporation,0,26,0,26
https,10,11,4,25
pm,10,11,4,25
owner,0,25,0,25
escheated,0,24,0,24
provincial,20,0,3,23
estate,0,23,0,23
which,3,15,5,23
escheat,0,22,0,22
gov,10,11,1,22
at,9,12,1,22
bc,10,11,1,22
other,6,9,6,21
standards,21,0,0,21
made,0,18,3,21
persons,14,4,2,20
accessible,20,0,0,20
make,8,11,1,20
time,5,10,4,19
from,3,14,2,19
without,9,9,1,19
subject,6,9,3,18
relation,3,12,3,18
court,0,13,5,18
amount,1,17,0,18
child,0,0,17,17
who,4,6,7,17
statreg,10,4,3,17
organization,16,0,0,16
standard,16,0,0,16
serviced,0,16,0,16
been,0,16,0,16
following,11,1,4,16
calcivixldocumentlidllc,9,4,3,16
entitled,0,16,0,16
ilwwwbclaws,8,5,3,16
are,9,4,3,16
plan,13,2,0,15
respecting,11,0,4,15
division,10,0,5,15
interest,0,15,0,15
legal,0,15,0,15
purposes,6,5,4,15
out,6,5,3,14
proposed,14,0,0,14
law,1,2,11,14
had,0,14,0,14
prescribing,7,6,0,13
supreme,0,12,1,13
deferral,0,13,0,13
including,5,3,5,13
notice,0,13,0,13
referred,3,7,3,13
council,7,5,0,12
possession,0,12,0,12
organizations,12,0,0,12
date,2,8,2,12
vested,0,12,0,12
apply,5,7,0,12
application,3,8,0,11
after,3,8,0,11
parenting,0,0,11,11
prescribed,4,4,3,11
ii,7,1,3,11
spouse,0,0,11,11
real,0,11,0,11
barriers,10,0,0,10
development,10,0,0,10
its,6,4,0,10
individuals,10,0,0,10
deceased,0,10,0,10
within,2,4,4,10
into,1,9,0,10
lieutenant,7,3,0,10
members,10,0,0,10
owing,0,10,0,10
manner,1,9,0,10
same,1,8,1,10
governor,7,3,0,10
reference,2,1,6,9
disabilities,9,0,0,9
title,0,9,0,9
indigenous,9,0,0,9
terms,3,5,1,9
intestate,0,9,0,9
least,6,2,1,9
certificate,0,9,0,9
years,4,3,2,9
set,2,4,3,9
technical,9,0,0,9
support,4,0,5,9
equitable,0,8,0,8
moral,0,8,0,8
pay,4,4,0,8
changes,4,2,2,8
dissolution,0,8,0,8
force,5,1,2,8
grant,1,7,0,8
review,5,3,0,8
rights,6,2,0,8
recognition,8,0,0,8
guardian,0,0,8,8
dispute,0,0,8,8
registered,0,8,0,8
bclaws,1,6,1,8
ilwww,1,6,1,8
iii,2,5,1,8
member,0,0,8,8
whether,1,7,0,8
against,0,7,0,7
all,0,6,1,7
conditions,1,6,0,7
have,1,6,0,7
charge,1,6,0,7
peoples,7,0,0,7
parent,0,0,7,7
making,2,5,0,7
haida,0,7,0,7
one,2,2,3,7
provisions,3,4,0,7
public,6,1,0,7
calcivixldocumentlidllclstatreg,0,7,0,7
does,6,1,0,7
year,5,2,0,7
escheats,0,7,0,7
includes,1,1,5,7
whom,1,5,1,7
canada,3,2,2,7
considers,3,4,0,7
legislative,3,2,2,7
matter,2,3,2,7
accordance,6,1,0,7
limiting,5,1,0,6
determination,2,4,0,6
committees,6,0,0,6
copyright,2,2,2,6
monetary,6,0,0,6
meaning,2,2,2,6
king,2,2,2,6
interpretation,3,1,2,6
inquiry,0,6,0,6
sale,0,6,0,6
so,1,4,1,6
term,1,5,0,6
taken,1,4,1,6
heirs,0,6,0,6
given,2,4,0,6
become,0,6,0,6
developing,6,0,0,6
spouses,0,0,6,6
fee,0,6,0,6
period,3,2,1,6
constable,0,0,6,6
appointed,5,0,1,6
regulation,6,0,0,6
portion,0,6,0,6
printer,2,2,2,6
victoria,2,2,2,6
vests,0,6,0,6
providing,0,6,0,6
justice,0,0,6,6
necessary,3,3,0,6
consider,5,0,1,6
sections,4,1,0,5
respect,0,4,1,5
action,0,4,1,5
affected,5,0,0,5
authority,3,2,0,5
applies,1,4,0,5
appropriate,1,4,0,5
sign,5,0,0,5
report,5,0,0,5
relevant,4,0,1,5
principles,5,0,0,5
formats,5,0,0,5
contents,3,1,1,5
paid,0,5,0,5
penalties,5,0,0,5
personal,0,4,1,5
otherwise,0,4,1,5
claim,0,5,0,5
proper,0,5,0,5
definitions,2,2,1,5
gwaii,0,5,0,5
limitation,5,0,0,5
languages,5,0,0,5
money,0,5,0,5
more,2,1,2,5
appeal,1,4,0,5
waiver,0,4,0,4
was,0,4,0,4
week,4,0,0,4
vest,0,4,0,4
than,1,1,2,4
another,2,0,2,4
each,2,1,1,4
effect,0,4,0,4
were,0,4,0,4
accountability,4,0,0,4
debt,0,1,3,4
interacting,4,0,0,4
impairment,4,0,0,4
different,2,2,0,4
corporeal,0,4,0,4
counsellor,0,0,4,4
lien,0,4,0,4
despite,0,3,1,4
matters,2,2,0,4
maximum,1,3,0,4
deferred,0,4,0,4
coordinator,0,0,4,4
marriage,0,0,4,4
crown,0,4,0,4
consult,4,0,0,4
described,2,0,2,4
hereditament,0,4,0,4
having,0,4,0,4
disposed,0,4,0,4
disposition,0,4,0,4
column,4,0,0,4
name,0,4,0,4
companion,0,0,4,4
power,0,4,0,4
powers,0,3,1,4
paragraph,1,2,1,4
parental,0,0,4,4
promote,4,0,0,4
provided,0,3,1,4
claims,0,4,0,4
class,2,0,2,4
develop,4,0,0,4
granted,0,4,0,4
publish,4,0,0,4
purpose,1,2,1,4
belonged,0,4,0,4
between,0,0,4,4
process,2,1,1,4
remuneration,4,0,0,4
required,2,2,0,4
relationship,0,0,4,4
but,1,1,2,4
responsibilities,0,0,4,4
before,1,3,0,4
animal,0,0,4,4
such,0,4,0,4
survey,0,4,0,4
forfeited,0,4,0,4
forfeiture,0,4,0,4
feedback,4,0,0,4
diversity,4,0,0,4
dog,0,0,4,4
administration,0,4,0,4
abuse,0,0,4,4
unless,0,3,0,3
advisable,2,1,0,3
works,0,3,0,3
office,0,3,0,3
excluded,0,0,3,3
expenses,1,2,0,3
things,1,2,0,3
anything,3,0,0,3
those,3,0,0,3
table,3,0,0,3
tables,1,1,1,3
contact,0,0,3,3
contemplated,1,2,0,3
like,0,0,3,3
limited,3,0,0,3
laws,3,0,0,3
deemed,0,3,0,3
commencement,3,0,0,3
comments,3,0,0,3
owned,0,3,0,3
offence,3,0,0,3
licence,1,1,1,3
establish,3,0,0,3
estates,0,3,0,3
every,2,1,0,3
enacted,3,0,0,3
dissolved,0,3,0,3
although,0,3,0,3
do,1,2,0,3
january,1,1,1,3
judicial,0,3,0,3
kept,0,0,3,3
last,0,3,0,3
chapter,1,1,1,3
code,3,0,0,3
calculating,1,1,1,3
form,2,1,0,3
extent,1,1,1,3
final,0,3,0,3
specialists,3,0,0,3
carrying,2,1,0,3
determine,1,2,0,3
penalty,3,0,0,3
paragraphs,1,0,2,3
reasonable,2,0,1,3
iv,2,0,1,3
provide,1,2,0,3
plans,3,0,0,3
classes,1,2,0,3
barrier,3,0,0,3
fiscal,3,0,0,3
service,1,0,2,3
services,1,1,1,3
animals,0,0,3,3
because,0,3,0,3
include,1,2,0,3
register,0,3,0,3
publication,3,0,0,3
cease,0,3,0,3
body,3,0,0,3
release,0,3,0,3
receiving,2,1,0,3
incurred,1,2,0,3
history,1,1,1,3
record,2,1,0,3
recover,0,3,0,3
disclaimer,1,1,1,3
revenue,0,3,0,3
fund,0,3,0,3
dispose,0,3,0,3
died,0,3,0,3
dies,0,3,0,3
registrar,0,3,0,3
registration,0,3,0,3
right,0,3,0,3
rule,3,0,0,3
govbc,0,0,3,3
grants,3,0,0,3
director,3,0,0,3
restore,0,3,0,3
behalf,0,3,0,3
see,1,1,1,3
either,0,3,0,3
tribunal,3,0,0,3
their,2,0,1,3
current,1,1,1,3
consolidated,0,3,0,3
consultants,3,0,0,3
no,1,2,0,3
accessability,3,0,0,3
acts,1,1,0,2
meets,0,0,2,2
mediator,0,0,2,2
mediation,0,0,2,2
notes,0,2,0,2
norms,2,0,0,2
consisting,0,2,0,2
makes,0,2,0,2
mail,0,2,0,2
minimum,1,1,0,2
conducting,0,0,2,2
mineral,0,2,0,2
might,2,0,0,2
adversely,0,2,0,2
adverse,0,2,0,2
effectiveness,2,0,0,2
effective,0,2,0,2
earlier,0,1,1,2
dying,0,2,0,2
equity,0,2,0,2
used,0,1,1,2
violence,0,0,2,2
ajudgment,0,2,0,2
use,0,1,1,2
seems,0,2,0,2
retain,1,1,0,2
assist,2,0,0,2
assignment,0,2,0,2
resolution,0,0,2,2
requiring,1,1,0,2
groups,2,0,0,2
hearing,0,2,0,2
requirements,0,0,2,2
revived,0,2,0,2
relates,0,1,1,2
reimbursement,0,2,0,2
reimbursed,0,2,0,2
representatives,2,0,0,2
devised,0,2,0,2
developed,1,1,0,2
determined,0,2,0,2
harm,0,0,2,2
reports,2,0,0,2
specified,2,0,0,2
revive,0,2,0,2
reviews,2,0,0,2
reversed,0,2,0,2
separate,0,0,2,2
free,0,2,0,2
former,0,0,2,2
guidelines,0,0,2,2
guide,0,0,2,2
disposal,0,2,0,2
sell,0,2,0,2
self,2,0,0,2
seised,0,2,0,2
remove,2,0,0,2
remains,0,2,0,2
recovery,0,2,0,2
recommendation,2,0,0,2
recognized,2,0,0,2
identify,2,0,0,2
how,2,0,0,2
hereditaments,0,2,0,2
indebtedness,0,2,0,2
incorporeal,0,2,0,2
inclusion,2,0,0,2
relationships,0,0,2,2
beneficial,0,2,0,2
certainty,2,0,0,2
published,2,0,0,2
provision,0,0,2,2
delegation,0,2,0,2
direction,2,0,0,2
direct,0,1,1,2
imposing,2,0,0,2
annual,2,0,0,2
sbc,1,0,1,2
simple,0,2,0,2
arbitration,0,0,2,2
appointment,2,0,0,2
appoint,1,1,0,2
authorize,0,2,0,2
served,0,2,0,2
follows,1,1,0,2
first,1,1,0,2
financial,0,1,1,2
give,0,2,0,2
calcivixldocumentlid,1,0,1,2
police,0,0,2,2
physical,1,0,1,2
prevention,1,0,1,2
prevent,2,0,0,2
imposed,2,0,0,2
intention,0,0,2,2
inquiries,0,2,0,2
information,2,0,0,2
independent,2,0,0,2
processes,0,0,2,2
read,0,0,2,2
permanently,0,0,2,2
payment,0,2,0,2
paying,1,1,0,2
payable,0,2,0,2
cause,0,2,0,2
declaration,2,0,0,2
designated,1,1,0,2
design,2,0,0,2
carry,1,1,0,2
cancel,0,2,0,2
tenure,0,2,0,2
take,0,2,0,2
specific,2,0,0,2
some,0,2,0,2
sold,0,2,0,2
society,2,0,0,2
sue,0,2,0,2
filing,0,2,0,2
file,0,2,0,2
field,0,2,0,2
fees,0,2,0,2
forfeitures,0,2,0,2
claimants,0,2,0,2
circumstances,1,1,0,2
charges,0,2,0,2
communications,2,0,0,2
communication,1,0,1,2
parentage,0,0,2,2
kin,0,2,0,2
jurisdiction,1,0,1,2
judgment,0,2,0,2
except,0,0,2,2
amounts,2,0,0,2
arrangements,0,0,2,2
arbitrator,0,0,2,2
submit,2,0,0,2
statute,0,1,1,2
established,1,1,0,2
stated,0,2,0,2
stands,2,0,0,2
parcel,0,2,0,2
collaboration,2,0,0,2
considered,2,0,0,2
outside,1,0,1,2
counsellors,0,0,2,2
costs,0,2,0,2
coordinators,0,0,2,2
leaving,0,2,0,2
lawful,0,2,0,2
parts,0,0,2,2
parties,0,0,2,2
continuing,1,0,1,2
nations,2,0,0,2
nation,0,2,0,2
located,0,2,0,2
living,0,0,2,2
lived,0,0,2,2
live,0,0,2,2
consultations,2,0,0,2
municipal,0,0,2,2
operation,0,2,0,2
conclusive,0,2,0,2
contraventions,2,0,0,2
systems,0,2,0,2
surveyor,0,2,0,2
threats,0,0,2,2
appeals,2,0,0,2
they,0,1,1,2
entered,0,2,0,2
enter,0,2,0,2
official,0,2,0,2
until,0,2,0,2
account,0,2,0,2
whole,1,1,0,2
unpaid,0,2,0,2
universal,2,0,0,2
united,2,0,0,2
writing,1,0,1,2
would,0,1,1,2
administrative,2,0,0,2
adaptability,2,0,0,2
actual,0,2,0,2
updating,2,0,0,2
up,2,0,0,2
abandoned,0,1,0,1
education,1,0,0,1
effectually,0,1,0,1
elapsed,0,1,0,1
valuable,0,1,0,1
value,0,1,0,1
titles,0,1,0,1
together,0,0,1,1
total,0,1,0,1
transfer,0,1,0,1
transferring,0,1,0,1
transfers,0,1,0,1
transportation,1,0,0,1
travelling,1,0,0,1
treasury,1,0,0,1
treating,0,1,0,1
tribunals,1,0,0,1
manage,0,1,0,1
march,1,0,0,1
married,0,0,1,1
covered,1,0,0,1
created,0,1,0,1
constables,0,0,1,1
constitution,1,0,0,1
confer,1,0,0,1
conferred,0,1,0,1
confinement,0,0,1,1
consecutive,1,0,0,1
consequences,1,0,0,1
next,0,1,0,1
mental,1,0,0,1
minerals,0,1,0,1
access,0,1,0,1
limits,1,0,0,1
listed,0,0,1,1
lives,0,0,1,1
later,0,1,0,1
named,0,1,0,1
national,1,0,0,1
natural,0,1,0,1
necessarily,1,0,0,1
necessities,0,0,1,1
context,0,0,1,1
continued,1,0,0,1
continuous,0,0,1,1
companionship,0,0,1,1
complete,0,0,1,1
ministries,1,0,0,1
maintenance,0,1,0,1
collaborative,0,0,1,1
collected,0,1,0,1
come,1,0,0,1
commence,0,1,0,1
overturned,0,1,0,1
owes,0,1,0,1
objects,0,1,0,1
obligation,0,1,0,1
obtaining,0,1,0,1
officer,0,0,1,1
once,1,0,0,1
oneself,0,0,1,1
operates,0,1,0,1
life,0,0,1,1
likely,0,1,0,1
limit,1,0,0,1
lc,1,0,0,1
lclstatreg,0,0,1,1
lease,0,1,0,1
leased,0,1,0,1
defer,0,1,0,1
define,0,1,0,1
convention,1,0,0,1
conveying,0,1,0,1
ordinary,0,1,0,1
others,0,0,1,1
over,0,1,0,1
consideration,0,1,0,1
considering,1,0,0,1
consist,1,0,0,1
coercion,0,0,1,1
cognitive,1,0,0,1
left,0,1,0,1
iwww,1,0,0,1
june,1,0,0,1
jurisdictions,1,0,0,1
known,0,1,0,1
language,1,0,0,1
international,1,0,0,1
intersecting,1,0,0,1
parents,0,0,1,1
claimant,0,1,0,1
claiming,0,1,0,1
participate,1,0,0,1
participation,1,0,0,1
party,0,0,1,1
ordinance,0,1,0,1
lawyer,0,0,1,1
daily,1,0,0,1
damage,0,0,1,1
days,0,1,0,1
deaf,1,0,0,1
deal,0,1,0,1
death,0,1,0,1
declare,0,1,0,1
issues,0,0,1,1
case,0,0,1,1
possible,1,0,0,1
practicable,1,0,0,1
passed,0,1,0,1
pension,0,0,1,1
permanent,1,0,0,1
permitting,0,1,0,1
ownership,0,1,0,1
primary,1,0,0,1
principle,1,0,0,1
private,0,1,0,1
pets,0,0,1,1
physically,0,0,1,1
place,0,1,0,1
pocket,1,0,0,1
policies,1,0,0,1
claws,1,0,0,1
calculated,0,1,0,1
can,1,0,0,1
cancellation,0,1,0,1
intimidation,0,0,1,1
investigation,0,1,0,1
issue,0,1,0,1
issued,0,1,0,1
individual,1,0,0,1
ineffectually,0,1,0,1
initiate,1,0,0,1
intellectual,1,0,0,1
intent,0,0,1,1
intentional,0,0,1,1
interaction,1,0,0,1
implement,1,0,0,1
provides,0,1,0,1
practices,1,0,0,1
precious,0,1,0,1
preference,0,1,0,1
prepare,1,0,0,1
preventing,1,0,0,1
price,0,1,0,1
primarily,0,0,1,1
being,0,1,0,1
board,1,0,0,1
bodies,1,0,0,1
both,0,0,1,1
bring,0,1,0,1
built,1,0,0,1
rate,0,1,0,1
reason,0,1,0,1
proceedings,0,1,0,1
procurement,1,0,0,1
professional,0,0,1,1
promptly,1,0,0,1
propertyl,0,0,1,1
protect,0,0,1,1
item,1,0,0,1
indirect,0,0,1,1
directed,0,1,0,1
directions,1,0,0,1
defined,0,1,0,1
delegate,1,0,0,1
delivered,0,1,0,1
delivering,0,1,0,1
delivery,1,0,0,1
demonstrates,0,0,1,1
deprivation,0,0,1,1
reflect,1,0,0,1
reflects,1,0,0,1
psychological,0,0,1,1
pumping,0,1,0,1
caused,1,0,0,1
causes,0,1,0,1
ceasing,0,1,0,1
hinders,1,0,0,1
holds,0,1,0,1
iay,1,0,0,1
identification,1,0,0,1
identifying,1,0,0,1
ifthe,0,0,1,1
recipients,1,0,0,1
recommend,1,0,0,1
recommendations,1,0,0,1
business,0,0,1,1
available,0,1,0,1
base,0,1,0,1
based,1,0,0,1
basis,1,0,0,1
improve,1,0,0,1
inability,1,0,0,1
harassment,0,0,1,1
hardship,0,1,0,1
disposes,0,1,0,1
devise,0,1,0,1
did,0,1,0,1
die,0,1,0,1
health,1,0,0,1
request,1,0,0,1
require,1,0,0,1
registering,0,1,0,1
reimburse,1,0,0,1
related,0,0,1,1
relating,0,1,0,1
received,1,0,0,1
describes,1,0,0,1
inconvenient,0,1,0,1
assistance,0,0,1,1
attempt,0,0,1,1
attempts,0,0,1,1
attitudes,1,0,0,1
restoring,0,1,0,1
restricting,1,0,0,1
restrictions,0,0,1,1
result,1,0,0,1
released,0,1,0,1
removal,1,0,0,1
removing,1,0,0,1
rent,0,1,0,1
repair,0,1,0,1
repairs,0,1,0,1
half,1,0,0,1
happening,0,1,0,1
granting,0,1,0,1
doing,1,0,0,1
done,0,0,1,1
due,0,1,0,1
during,0,1,0,1
duties,1,0,0,1
directives,1,0,0,1
directs,1,0,0,1
residence,0,0,1,1
resolve,0,0,1,1
restored,0,1,0,1
began,0,0,1,1
begins,0,0,1,1
assembly,1,0,0,1
assent,1,0,0,1
assented,1,0,0,1
discrimination,1,0,0,1
guardians,0,0,1,1
guardianship,0,0,1,1
forms,1,0,0,1
forward,0,1,0,1
freed,0,1,0,1
retained,1,0,0,1
revival,0,1,0,1
reward,0,1,0,1
rewarding,0,1,0,1
royal,1,0,0,1
rsbc,0,1,0,1
requires,0,0,1,1
heir,0,1,0,1
held,0,1,0,1
goals,1,0,0,1
applicable,0,1,0,1
applying,1,0,0,1
appointing,1,0,0,1
shown,0,1,0,1
shows,0,1,0,1
signed,0,0,1,1
satisfied,0,1,0,1
seem,0,1,0,1
selected,1,0,0,1
sending,0,1,0,1
sensory,1,0,0,1
sent,0,1,0,1
disability,1,0,0,1
discovers,0,1,0,1
discovery,0,1,0,1
discretion,1,0,0,1
full,1,0,0,1
fully,1,0,0,1
functions,1,0,0,1
furnishing,0,1,0,1
gazette,0,1,0,1
generally,0,0,1,1
finance,0,1,0,1
findings,1,0,0,1
forced,0,0,1,1
forfeits,0,1,0,1
sets,1,0,0,1
sexual,0,0,1,1
sexually,0,0,1,1
auction,0,1,0,1
authorizing,1,0,0,1
autonomy,0,0,1,1
expiry,0,1,0,1
exposure,0,0,1,1
failing,1,0,0,1
failure,0,1,0,1
favour,0,1,0,1
filed,0,1,0,1
finally,0,1,0,1
succession,0,1,0,1
since,0,1,0,1
soon,1,0,0,1
spousal,0,0,1,1
staking,0,1,0,1
stalking,0,0,1,1
separated,0,0,1,1
separation,0,0,1,1
september,1,0,0,1
evidence,0,0,1,1
eligible,0,1,0,1
elsewhere,1,0,0,1
emotional,0,0,1,1
employment,1,0,0,1
disputed,0,0,1,1
distributing,0,1,0,1
stating,0,1,0,1
storing,0,1,0,1
submitted,1,0,0,1
succeed,0,1,0,1
arising,0,1,0,1
allowance,1,0,0,1
amended,1,0,0,1
american,1,0,0,1
format,1,0,0,1
affecting,0,1,0,1
affirmed,1,0,0,1
affixed,0,1,0,1
age,0,0,1,1
agencies,1,0,0,1
agency,1,0,0,1
though,0,1,0,1
throughout,1,0,0,1
takes,0,1,0,1
technologies,1,0,0,1
temporary,1,0,0,1
tender,0,1,0,1
terminates,0,1,0,1
establishment,1,0,0,1
etc,1,0,0,1
even,0,1,0,1
trustees,0,1,0,1
district,0,1,0,1
diverting,0,1,0,1
evidentiary,1,0,0,1
exercise,0,1,0,1
enactment,0,1,0,1
engage,1,0,0,1
engaged,1,0,0,1
enters,0,1,0,1
entry,0,1,0,1
environment,1,0,0,1
then,0,1,0,1
thereafter,1,0,0,1
thing,0,1,0,1
thinks,0,1,0,1
advising,0,0,1,1
accrued,0,1,0,1
actions,1,0,0,1
unreasonable,0,0,1,1
update,1,0,0,1
agreements,0,1,0,1
agricultural,0,0,1,1
allocation,0,0,1,1
view,0,0,1,1
waive,0,1,0,1
way,0,1,0,1
utility,0,1,0,1
environments,1,0,0,1
episodic,1,0,0,1
equal,1,0,0,1
equally,1,0,0,1
easement,0,1,0,1
additional,1,0,0,1
address,0,1,0,1
absolutely,0,1,0,1
adopt,1,0,0,1
adoption,1,0,0,1
written,0,0,1,1
advertise,0,1,0,1
advise,1,0,0,1
whose,0,0,1,1
will,0,1,0,1
wills,0,1,0,1
withheld,0,1,0,1
what,1,0,0,1
when,0,1,0,1
accruing,0,1,0,1
accrues,0,1,0,1
TOTAL,2182,3691,1044,6917
